# E1 = 1 E2 = 1 E3 = 1 m = 0.05 Eps = 0.5
# Time    Y_1                 Y_2                 Y_3                 
0.69      0.524826            1.55028             2.12081             
0.695     0.521177            1.54779             2.12664             
0.7       0.517553            1.54527             2.13246             
0.705     0.513955            1.54272             2.13827             
0.71      0.510383            1.54015             2.14406             
0.715     0.506837            1.53755             2.14985             
0.72      0.503317            1.53493             2.15562             
0.725     0.499822            1.53228             2.16138             
0.73      0.496352            1.52961             2.16712             
0.735     0.492907            1.52692             2.17286             
0.74      0.489487            1.5242              2.17857             
0.745     0.486092            1.52146             2.18428             
0.75      0.482722            1.5187              2.18996             
0.755     0.479376            1.51591             2.19564             
0.76      0.476054            1.5131              2.20129             
0.765     0.472756            1.51027             2.20693             
0.77      0.469483            1.50742             2.21255             
0.775     0.466233            1.50455             2.21816             
0.78      0.463007            1.50166             2.22374             
0.785     0.459804            1.49874             2.22931             
0.79      0.456625            1.49581             2.23486             
0.795     0.45347             1.49285             2.24039             
0.8       0.450337            1.48988             2.2459              
0.805     0.447227            1.48688             2.25139             
0.81      0.444141            1.48387             2.25687             
0.815     0.441077            1.48084             2.26231             
0.82      0.438035            1.47778             2.26774             
0.825     0.435016            1.47471             2.27315             
0.83      0.432019            1.47163             2.27853             
0.835     0.429045            1.46852             2.2839              
0.84      0.426092            1.4654              2.28923             
0.845     0.423161            1.46226             2.29455             
0.85      0.420253            1.4591              2.29984             
0.855     0.417365            1.45593             2.30511             
0.86      0.4145              1.45274             2.31035             
0.865     0.411655            1.44953             2.31557             
0.87      0.408832            1.44631             2.32076             
0.875     0.40603             1.44308             2.32593             
0.88      0.403249            1.43982             2.33107             
0.885     0.400489            1.43656             2.33618             
0.89      0.397749            1.43328             2.34126             
0.895     0.39503             1.42998             2.34632             
0.9       0.392332            1.42667             2.35135             
0.905     0.389654            1.42335             2.35635             
0.91      0.386996            1.42001             2.36133             
0.915     0.384359            1.41666             2.36627             
0.92      0.381741            1.41329             2.37119             
0.925     0.379143            1.40992             2.37607             
0.93      0.376565            1.40653             2.38093             
0.935     0.374007            1.40313             2.38575             
0.94      0.371468            1.39971             2.39054             
0.945     0.368948            1.39629             2.39531             
0.95      0.366448            1.39285             2.40004             
0.955     0.363967            1.3894              2.40473             
0.96      0.361505            1.38594             2.4094              
0.965     0.359062            1.38248             2.41403             
0.97      0.356638            1.379               2.41863             
0.975     0.354232            1.37551             2.4232              
0.98      0.351845            1.372               2.42773             
0.985     0.349477            1.36849             2.43223             
0.99      0.347126            1.36498             2.43669             
0.995     0.344794            1.36145             2.44112             
1         0.342481            1.35791             2.44552             
1.005     0.340185            1.35436             2.44988             
1.01      0.337907            1.35081             2.4542              
1.015     0.335647            1.34724             2.45849             
1.02      0.333405            1.34367             2.46274             
1.025     0.33118             1.34009             2.46695             
1.03      0.328973            1.3365              2.47113             
1.035     0.326783            1.33291             2.47527             
1.04      0.32461             1.32931             2.47937             
1.045     0.322455            1.3257              2.48343             
1.05      0.320317            1.32208             2.48745             
1.055     0.318195            1.31846             2.49144             
1.06      0.316091            1.31483             2.49539             
1.065     0.314003            1.3112              2.4993              
1.07      0.311932            1.30756             2.50317             
1.075     0.309877            1.30391             2.507               
1.08      0.307839            1.30026             2.51079             
1.085     0.305817            1.2966              2.51453             
1.09      0.303811            1.29294             2.51824             
1.095     0.301822            1.28927             2.52191             
1.1       0.299848            1.2856              2.52554             
1.105     0.297891            1.28192             2.52912             
1.11      0.295949            1.27824             2.53267             
1.115     0.294023            1.27456             2.53617             
1.12      0.292113            1.27087             2.53963             
1.125     0.290218            1.26718             2.54305             
1.13      0.288339            1.26348             2.54643             
1.135     0.286475            1.25978             2.54976             
1.14      0.284626            1.25608             2.55305             
1.145     0.282792            1.25237             2.5563              
1.15      0.280974            1.24867             2.5595              
1.155     0.27917             1.24495             2.56266             
1.16      0.277381            1.24124             2.56578             
1.165     0.275607            1.23753             2.56885             
1.17      0.273848            1.23381             2.57188             
1.175     0.272103            1.23009             2.57486             
1.18      0.270373            1.22637             2.5778              
1.185     0.268657            1.22265             2.5807              
1.19      0.266956            1.21892             2.58355             
1.195     0.265268            1.2152              2.58636             
1.2       0.263595            1.21147             2.58912             
1.205     0.261936            1.20774             2.59183             
1.21      0.260291            1.20401             2.5945              
